"Kod";"Nazwa";"ogółem;2013;[zł]";"ogółem;2014;[zł]";"ogółem;2015;[zł]";"ogółem;2016;[zł]";"ogółem;2017;[zł]";"ogółem;2018;[zł]";"ogółem;2019;[zł]";"ogółem;2020;[zł]";"ogółem;2021;[zł]";"ogółem;2022;[zł]";"ogółem;2023;[zł]";
1432000;"Powiat warszawski zachodni";4118,21;4335,48;4525,62;4800,81;5054,09;5375,27;5730,95;5990,54;6524,02;7077,31;7981,78;
1433000;"Powiat węgrowski";3075,59;3256,72;3273,22;3396,09;3570,38;3978,57;4188,07;4589,75;5150,92;5786,65;6615,26;
1434000;"Powiat wołomiński";3504,20;3583,98;3634,53;3851,80;4077,96;4472,81;4790,56;4997,04;5451,36;6065,79;6910,12;
1435000;"Powiat wyszkowski";3138,01;3481,56;3370,96;3512,07;3761,07;3908,90;4110,84;4404,79;4816,43;5551,98;6264,25;
1436000;"Powiat zwoleński";3204,57;3350,45;3365,55;3480,17;3733,31;4026,66;4181,55;4508,69;4990,00;5638,92;6376,01;
1437000;"Powiat żuromiński";3000,90;3073,81;3181,04;3232,13;3446,49;3576,47;3855,91;4384,30;4781,49;5390,60;6064,88;
1438000;"Powiat żyrardowski";3624,61;3924,18;4003,47;4025,65;4254,63;4535,22;4745,14;5113,05;5645,54;6403,00;7232,39;
1461000;"Powiat m. Ostrołęka";3912,91;4005,26;4108,75;4349,17;4481,69;4832,05;5175,65;5712,81;6091,07;6673,91;7571,74;
1462000;"Powiat m. Płock";4799,33;4926,26;5078,16;5238,34;5474,96;5705,32;6091,56;6526,04;7167,40;7898,47;9151,56;
1463000;"Powiat m. Radom";3523,34;3598,94;3743,89;3851,41;4123,36;4388,04;4684,64;5033,24;5626,71;6182,33;7041,60;
1464000;"Powiat m. Siedlce";3533,39;3647,76;3752,28;3965,66;4130,35;4364,06;4857,69;5187,54;5707,14;6234,01;7024,63;
1465000;"Powiat m. st. Warszawa";5226,05;5385,80;5591,46;5739,61;6059,04;6432,78;6802,60;7147,46;7687,58;8540,11;9625,74;
